,,,,
88,57,62,19,39
22,79,57,22,46
56,29,21,12,77
24,79,84,83,66
96,8,77,53,89
18,51,25,43,99
31,30,55,92,49
94,14,28,51,36
74,7,64,94,18
40,17,97,24,99
62,19,7,39,72
95,56,22,20,99
20,50,29,75,42
77,69,55,5,20
91,78,26,54,72
44,93,88,40,16
87,2,35,93,40
6,88,96,28,7
94,48,57,22,23
99,99,92,54,3
12,44,81,38,97
52,81,90,40,21
5,26,22,40,18
62,46,5,57,73
12,50,21,68,72
44,66,70,35,19
73,46,62,53,83
59,5,64,48,44
84,53,69,6,92
86,68,37,91,24
10,2,74,31,70
45,74,35,14,9
54,87,55,16,39
38,74,43,1,22
87,85,74,55,91
65,41,58,2,31
81,12,33,54,43
2,99,16,37,13
24,91,99,79,6
37,16,80,80,16
1,66,100,74,21
90,39,62,47,41
93,28,52,25,82
94,27,81,10,63
93,34,53,91,12
59,28,27,38,8
43,39,74,42,12
94,32,51,55,79
91,47,7,42,72
88,36,98,68,46
61,61,79,14,51
91,73,79,17,10
86,59,48,59,1
60,53,33,10,8
11,100,55,18,42
26,6,78,24,74
23,85,34,2,99
85,92,71,63,8
81,48,67,29,7
67,88,59,100,98
67,11,98,21,28
40,46,33,17,70
7,40,54,40,41
52,24,33,22,87
41,2,34,7,30
41,74,18,99,73
15,65,83,13,86
11,52,31,44,68
1,50,8,55,89
49,6,13,81,28
99,21,30,33,27
60,74,1,77,73
74,92,38,56,4
23,67,55,54,10
23,54,59,30,8
48,78,14,60,59
41,59,79,71,92
6,30,65,7,7
37,80,99,74,35
3,97,2,58,50
11,80,3,69,10
11,16,88,24,76
46,65,35,25,35
27,31,65,92,37
72,29,16,70,3
51,73,99,52,30
49,62,10,51,31
20,62,47,8,85
23,54,50,58,78
85,84,8,49,76
44,21,5,59,91
7,9,63,6,61
93,54,22,2,5
53,22,66,99,29
51,21,82,1,79
59,85,63,67,34
38,10,54,42,69
44,49,78,7,55
38,99,9,60,1
13,12,22,79,11
51,30,32,32,30
10,91,15,72,57
48,9,67,2,51
36,46,100,13,52
55,51,51,63,11
51,76,23,73,54
33,23,84,65,55
13,74,45,28,45
1,75,54,68,76
5,3,22,5,16
73,59,67,23,21
78,74,96,100,47
50,33,70,33,97
24,46,71,68,73
15,69,48,69,37
24,73,39,45,78
55,18,36,22,41
56,99,15,52,99
61,1,32,30,34
29,54,80,99,21
53,14,90,100,82
26,24,55,65,69
32,20,86,68,41
26,24,40,40,75
39,1,76,70,31
9,99,84,89,97
4,41,11,94,41
93,20,64,47,84
32,79,3,17,46
44,43,69,83,83
44,21,83,19,91
13,28,89,96,16
86,100,57,96,94
97,88,13,60,35
96,92,14,99,8
60,42,51,29,25
33,72,46,15,91
37,28,19,25,24
35,10,23,91,6
16,87,93,28,47
28,24,38,41,22
46,100,64,96,28
89,29,100,34,44
90,70,71,8,95
94,42,5,17,32
10,33,19,3,61
65,30,84,3,71
6,49,70,70,44
98,58,73,97,92
16,86,62,87,94
56,80,35,61,97
67,71,29,86,74
89,51,4,72,53
74,78,1,44,47
45,41,5,17,37
96,33,23,57,19
16,13,99,50,73
95,17,44,24,2
17,12,52,20,84
5,93,62,5,36
8,50,76,12,67
13,8,99,35,64
18,51,77,17,1
50,12,17,93,35
19,9,47,70,28
30,75,21,92,79
57,99,29,33,11
95,45,19,94,80
82,12,30,59,28
30,8,39,47,100
73,65,9,20,35
36,50,9,57,41
88,13,40,16,45
50,11,89,69,4
69,51,15,98,9
43,28,16,81,74
16,54,39,24,73
73,60,22,81,16
62,68,28,2,84
72,52,94,61,20
98,30,70,13,28
78,55,55,93,36
29,8,90,67,31
62,40,90,84,20
6,46,88,33,47
71,5,98,65,66
17,62,95,86,75
23,64,29,77,56
65,6,64,54,73
95,16,12,85,99
32,90,45,20,23
92,91,28,89,55
93,6,17,88,92
91,10,55,20,87
11,84,93,75,38
65,69,53,77,54
52,9,44,96,28
66,87,18,94,76
73,87,82,90,74
73,81,84,28,1

